episode,key,length,return,success,action_delta_mean,near_static_ratio
0,demo_0,194,14.0,True,0.23643045127391815,0.0
1,demo_1,215,6.0,True,0.21434976160526276,0.0
2,demo_2,233,7.0,True,0.21404168009757996,0.0
3,demo_3,215,13.0,True,0.2088496834039688,0.0
4,demo_4,215,8.0,True,0.21533964574337006,0.0
5,demo_5,261,8.0,True,0.20761525630950928,0.0
6,demo_6,242,4.0,True,0.21376296877861023,0.0
7,demo_7,242,5.0,True,0.21097998321056366,0.0
8,demo_8,261,11.0,True,0.2136945277452469,0.0
9,demo_9,249,4.0,True,0.21754933893680573,0.0
10,demo_10,215,2.0,True,0.20949114859104156,0.0
11,demo_11,261,13.0,True,0.20285099744796753,0.0
12,demo_12,212,1.0,True,0.21037787199020386,0.0
13,demo_13,261,9.0,True,0.20635855197906494,0.0
14,demo_14,206,2.0,True,0.21215641498565674,0.0
15,demo_15,200,2.0,True,0.19862093031406403,0.0
16,demo_16,215,1.0,True,0.21641333401203156,0.0
17,demo_17,206,2.0,True,0.22079190611839294,0.0
18,demo_18,194,14.0,True,0.23013879358768463,0.0
19,demo_19,261,10.0,True,0.2061210572719574,0.0
20,demo_20,261,4.0,True,0.20918168127536774,0.0
21,demo_21,242,3.0,True,0.19964438676834106,0.0
22,demo_22,215,6.0,True,0.217232808470726,0.0
23,demo_23,215,2.0,True,0.22191065549850464,0.0
24,demo_24,261,7.0,True,0.21279758214950562,0.0
25,demo_25,215,5.0,True,0.2239707112312317,0.0
26,demo_26,200,3.0,True,0.20299334824085236,0.0
27,demo_27,249,9.0,True,0.21189585328102112,0.0
28,demo_28,233,4.0,True,0.22515299916267395,0.0
29,demo_29,261,8.0,True,0.20697179436683655,0.0
30,demo_30,215,1.0,True,0.2212141901254654,0.0
31,demo_31,261,7.0,True,0.2150808721780777,0.0
32,demo_32,200,6.0,True,0.21457496285438538,0.0
33,demo_33,261,7.0,True,0.21064993739128113,0.0
34,demo_34,233,4.0,True,0.21075496077537537,0.0
35,demo_35,200,5.0,True,0.22264814376831055,0.0
36,demo_36,194,12.0,True,0.2326105535030365,0.0
37,demo_37,200,1.0,True,0.21266412734985352,0.0
38,demo_38,249,5.0,True,0.20071657001972198,0.0
39,demo_39,206,1.0,True,0.21163973212242126,0.0
40,demo_40,200,7.0,True,0.19623561203479767,0.0
41,demo_41,206,2.0,True,0.21180523931980133,0.0
42,demo_42,233,4.0,True,0.22036127746105194,0.0
43,demo_43,215,6.0,True,0.220977783203125,0.0
44,demo_44,249,4.0,True,0.22283299267292023,0.0
45,demo_45,194,6.0,True,0.22131457924842834,0.0
46,demo_46,212,8.0,True,0.19753485918045044,0.0
47,demo_47,212,7.0,True,0.21133305132389069,0.0
48,demo_48,233,5.0,True,0.22090639173984528,0.0
49,demo_49,242,1.0,True,0.20248666405677795,0.0
50,demo_50,215,6.0,True,0.206877201795578,0.0
51,demo_51,215,5.0,True,0.21615128219127655,0.0
52,demo_52,215,8.0,True,0.21542982757091522,0.0
53,demo_53,206,1.0,True,0.222936749458313,0.0
54,demo_54,200,10.0,True,0.2060907632112503,0.0
55,demo_55,261,10.0,True,0.21251347661018372,0.0
56,demo_56,212,9.0,True,0.220930814743042,0.0
57,demo_57,233,5.0,True,0.22176100313663483,0.0
58,demo_58,206,4.0,True,0.21936559677124023,0.0
59,demo_59,200,5.0,True,0.1993146687746048,0.0
60,demo_60,233,5.0,True,0.21924959123134613,0.0
61,demo_61,194,14.0,True,0.21747182309627533,0.0
62,demo_62,206,5.0,True,0.21872510015964508,0.0
63,demo_63,261,8.0,True,0.20234383642673492,0.0
64,demo_64,194,10.0,True,0.22757567465305328,0.0
65,demo_65,261,8.0,True,0.20617669820785522,0.0
66,demo_66,249,4.0,True,0.21352414786815643,0.0
67,demo_67,215,6.0,True,0.2282758504152298,0.0
68,demo_68,233,3.0,True,0.21525849401950836,0.0
69,demo_69,233,8.0,True,0.2209538370370865,0.0
70,demo_70,215,3.0,True,0.2114185094833374,0.0
71,demo_71,212,2.0,True,0.21478882431983948,0.0
72,demo_72,261,8.0,True,0.21189017593860626,0.0
73,demo_73,242,4.0,True,0.20700465142726898,0.0
74,demo_74,206,4.0,True,0.21356230974197388,0.0
75,demo_75,206,2.0,True,0.23139600455760956,0.0
76,demo_76,200,7.0,True,0.22043655812740326,0.0
77,demo_77,233,5.0,True,0.22099599242210388,0.0
78,demo_78,215,4.0,True,0.21110183000564575,0.0
79,demo_79,215,1.0,True,0.22331219911575317,0.0
80,demo_80,194,2.0,True,0.22336749732494354,0.0
81,demo_81,212,3.0,True,0.21732507646083832,0.0
82,demo_82,212,11.0,True,0.2097252905368805,0.0
83,demo_83,215,2.0,True,0.21566814184188843,0.0
84,demo_84,261,4.0,True,0.2100962996482849,0.0
85,demo_85,215,3.0,True,0.21153023838996887,0.0
86,demo_86,233,10.0,True,0.2236853539943695,0.0
87,demo_87,233,5.0,True,0.22451961040496826,0.0
88,demo_88,261,11.0,True,0.20285266637802124,0.0
89,demo_89,194,12.0,True,0.2375219464302063,0.0
90,demo_90,242,3.0,True,0.20099909603595734,0.0
91,demo_91,249,3.0,True,0.21955686807632446,0.0
92,demo_92,200,6.0,True,0.20685133337974548,0.0
93,demo_93,249,4.0,True,0.20266009867191315,0.0
94,demo_94,215,7.0,True,0.21531976759433746,0.0
95,demo_95,215,2.0,True,0.22043664753437042,0.0
96,demo_96,261,7.0,True,0.21547375619411469,0.0
97,demo_97,242,4.0,True,0.2055571973323822,0.0
98,demo_98,206,6.0,True,0.2284846305847168,0.0
99,demo_99,212,3.0,True,0.22222748398780823,0.0
100,demo_100,215,5.0,True,0.21232685446739197,0.0
101,demo_101,212,5.0,True,0.2151312381029129,0.0
102,demo_102,215,6.0,True,0.21939852833747864,0.0
103,demo_103,200,5.0,True,0.20954012870788574,0.0
104,demo_104,215,17.0,True,0.22454994916915894,0.0
105,demo_105,215,5.0,True,0.20916152000427246,0.0
106,demo_106,261,5.0,True,0.2032097578048706,0.0
107,demo_107,200,5.0,True,0.21004976332187653,0.0
108,demo_108,215,4.0,True,0.22420217096805573,0.0
109,demo_109,206,6.0,True,0.21261639893054962,0.0
110,demo_110,261,7.0,True,0.20082353055477142,0.0
111,demo_111,249,3.0,True,0.2150355577468872,0.0
112,demo_112,249,9.0,True,0.21757088601589203,0.0
113,demo_113,261,10.0,True,0.20752422511577606,0.0
114,demo_114,194,10.0,True,0.22929304838180542,0.0
115,demo_115,242,4.0,True,0.2144479602575302,0.0
116,demo_116,215,2.0,True,0.2126583755016327,0.0
117,demo_117,233,6.0,True,0.22191056609153748,0.0
118,demo_118,261,4.0,True,0.20244207978248596,0.0
119,demo_119,200,4.0,True,0.21656523644924164,0.0
120,demo_120,242,4.0,True,0.20551331341266632,0.0
121,demo_121,242,6.0,True,0.20403540134429932,0.0
122,demo_122,242,4.0,True,0.2011566460132599,0.0
123,demo_123,233,5.0,True,0.22150936722755432,0.0
124,demo_124,200,7.0,True,0.2215714454650879,0.0
125,demo_125,242,4.0,True,0.20701925456523895,0.0
126,demo_126,261,9.0,True,0.20600201189517975,0.0
127,demo_127,233,4.0,True,0.21681439876556396,0.0
128,demo_128,249,4.0,True,0.2141389697790146,0.0
129,demo_129,194,12.0,True,0.23064042627811432,0.0
130,demo_130,242,4.0,True,0.21505120396614075,0.0
131,demo_131,200,7.0,True,0.20470750331878662,0.0
132,demo_132,206,1.0,True,0.22461964190006256,0.0
133,demo_133,194,4.0,True,0.22349083423614502,0.0
134,demo_134,212,11.0,True,0.22575309872627258,0.0
135,demo_135,200,7.0,True,0.20865659415721893,0.0
136,demo_136,206,7.0,True,0.2227770984172821,0.0
137,demo_137,194,7.0,True,0.2144688069820404,0.0
138,demo_138,242,2.0,True,0.20351460576057434,0.0
139,demo_139,194,9.0,True,0.23275606334209442,0.0
140,demo_140,233,7.0,True,0.22304262220859528,0.0
141,demo_141,242,4.0,True,0.22303423285484314,0.0
142,demo_142,249,7.0,True,0.2221449911594391,0.0
143,demo_143,212,12.0,True,0.21116843819618225,0.0
144,demo_144,194,12.0,True,0.22906064987182617,0.0
145,demo_145,215,4.0,True,0.2195882499217987,0.0
146,demo_146,212,4.0,True,0.20097285509109497,0.0
147,demo_147,194,13.0,True,0.21961110830307007,0.0
148,demo_148,206,7.0,True,0.21338540315628052,0.0
149,demo_149,233,5.0,True,0.2213006466627121,0.0
150,demo_150,212,2.0,True,0.21486565470695496,0.0
151,demo_151,233,5.0,True,0.20780879259109497,0.0
152,demo_152,233,5.0,True,0.2250383198261261,0.0
153,demo_153,261,9.0,True,0.20651410520076752,0.0
154,demo_154,233,6.0,True,0.21942658722400665,0.0
155,demo_155,200,7.0,True,0.20946508646011353,0.0
156,demo_156,200,7.0,True,0.22276361286640167,0.0
157,demo_157,212,13.0,True,0.21059823036193848,0.0
158,demo_158,233,5.0,True,0.21744617819786072,0.0
159,demo_159,215,6.0,True,0.2309173345565796,0.0
160,demo_160,242,1.0,True,0.21314208209514618,0.0
161,demo_161,242,2.0,True,0.2103932797908783,0.0
162,demo_162,233,6.0,True,0.22472648322582245,0.0
163,demo_163,242,4.0,True,0.20556548237800598,0.0
164,demo_164,212,8.0,True,0.22533105313777924,0.0
165,demo_165,200,6.0,True,0.20462913811206818,0.0
166,demo_166,215,18.0,True,0.21795932948589325,0.0
167,demo_167,200,7.0,True,0.2021104246377945,0.0
168,demo_168,261,7.0,True,0.21565598249435425,0.0
169,demo_169,233,2.0,True,0.22435928881168365,0.0
170,demo_170,233,5.0,True,0.21427302062511444,0.0
171,demo_171,206,1.0,True,0.2179948389530182,0.0
172,demo_172,194,2.0,True,0.24058710038661957,0.0
173,demo_173,233,3.0,True,0.21054764091968536,0.0
174,demo_174,194,11.0,True,0.23412421345710754,0.0
175,demo_175,206,5.0,True,0.20534920692443848,0.0
176,demo_176,194,8.0,True,0.22663532197475433,0.0
177,demo_177,212,12.0,True,0.2172006070613861,0.0
178,demo_178,212,5.0,True,0.21504439413547516,0.0
179,demo_179,215,3.0,True,0.2139977365732193,0.0
180,demo_180,261,12.0,True,0.22096040844917297,0.0
181,demo_181,194,2.0,True,0.24081487953662872,0.0
182,demo_182,249,4.0,True,0.21853314340114594,0.0
183,demo_183,200,5.0,True,0.20762477815151215,0.0
184,demo_184,215,14.0,True,0.21394045650959015,0.0
185,demo_185,261,4.0,True,0.2068028450012207,0.0
186,demo_186,261,2.0,True,0.2138226479291916,0.0
187,demo_187,212,2.0,True,0.2102786898612976,0.0
188,demo_188,194,8.0,True,0.22036494314670563,0.0
189,demo_189,233,4.0,True,0.21541908383369446,0.0
190,demo_190,233,5.0,True,0.22967179119586945,0.0
191,demo_191,233,7.0,True,0.2264886051416397,0.0
192,demo_192,249,10.0,True,0.21640518307685852,0.0
193,demo_193,206,2.0,True,0.2199646383523941,0.0
194,demo_194,261,9.0,True,0.21261563897132874,0.0
195,demo_195,249,3.0,True,0.22293739020824432,0.0
196,demo_196,200,5.0,True,0.21191535890102386,0.0
197,demo_197,212,4.0,True,0.2131870836019516,0.0
198,demo_198,233,4.0,True,0.22747230529785156,0.0
199,demo_199,200,7.0,True,0.20922452211380005,0.0
200,demo_200,212,12.0,True,0.22740964591503143,0.0
201,demo_201,206,1.0,True,0.23023472726345062,0.0
202,demo_202,215,3.0,True,0.2191971391439438,0.0
203,demo_203,194,2.0,True,0.2379014939069748,0.0
204,demo_204,261,5.0,True,0.20175981521606445,0.0
205,demo_205,212,1.0,True,0.21945670247077942,0.0
206,demo_206,215,3.0,True,0.21781714260578156,0.0
207,demo_207,249,3.0,True,0.21209752559661865,0.0
208,demo_208,242,2.0,True,0.1989164501428604,0.0
209,demo_209,194,0.0,False,0.23055849969387054,0.0
210,demo_210,261,11.0,True,0.211923748254776,0.0
211,demo_211,261,1.0,True,0.21135208010673523,0.0
212,demo_212,249,3.0,True,0.21170003712177277,0.0
213,demo_213,261,7.0,True,0.21410317718982697,0.0
214,demo_214,261,3.0,True,0.206461101770401,0.0
215,demo_215,233,6.0,True,0.22292985022068024,0.0
216,demo_216,233,5.0,True,0.22578410804271698,0.0
217,demo_217,200,3.0,True,0.20819006860256195,0.0
218,demo_218,194,11.0,True,0.23378930985927582,0.0
219,demo_219,215,12.0,True,0.21837490797042847,0.0
220,demo_220,215,8.0,True,0.21485957503318787,0.0
221,demo_221,233,6.0,True,0.2073749601840973,0.0
222,demo_222,206,8.0,True,0.2184688299894333,0.0
223,demo_223,233,4.0,True,0.21587930619716644,0.0
224,demo_224,215,4.0,True,0.21855053305625916,0.0
225,demo_225,233,5.0,True,0.21225403249263763,0.0
226,demo_226,249,9.0,True,0.22408276796340942,0.0
227,demo_227,200,6.0,True,0.21191281080245972,0.0
228,demo_228,212,9.0,True,0.21002815663814545,0.0
229,demo_229,212,4.0,True,0.21772436797618866,0.0
230,demo_230,200,5.0,True,0.21608780324459076,0.0
231,demo_231,194,8.0,True,0.23805056512355804,0.0
232,demo_232,206,2.0,True,0.2215917855501175,0.0
233,demo_233,206,1.0,True,0.21251927316188812,0.0
234,demo_234,212,6.0,True,0.22294941544532776,0.0
235,demo_235,233,5.0,True,0.22118565440177917,0.0
236,demo_236,261,10.0,True,0.21234875917434692,0.0
237,demo_237,194,11.0,True,0.23405978083610535,0.0
238,demo_238,261,9.0,True,0.2057221680879593,0.0
239,demo_239,215,4.0,True,0.20896944403648376,0.0
240,demo_240,242,2.0,True,0.21620550751686096,0.0
241,demo_241,200,5.0,True,0.2094563990831375,0.0
242,demo_242,261,8.0,True,0.21491464972496033,0.0
243,demo_243,233,6.0,True,0.22524060308933258,0.0
244,demo_244,261,8.0,True,0.20209252834320068,0.0
245,demo_245,200,7.0,True,0.21107228100299835,0.0
246,demo_246,215,6.0,True,0.22577759623527527,0.0
